name,price,url
Salt Caramelised Hazelnuts,£8.95,/products/salt-caramelised-hazelnuts
Salted Caramel,£4.95,/products/blonde-chocolate-sea-salt
Salted Caramel Florentines,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£4.00",/products/salted-caramel-florentines
Salted Caramel Milk Chocolate Easter Egg,£29.95,/products/copy-of-pre-order-tea-biscuit-easter-egg
Salted Caramel Quail Eggs,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£6.00",/products/salted-caramel-quail-eggs
Salted Caramels Blonde Chocolate,£17.50,/products/salted-caramels-blonde-chocolate
Salted Caramels Dark Chocolate,£17.50,/products/salt-caramels-dark-chocolate
Salted Caramels Milk Chocolate,£17.50,/products/salt-caramels-milk-chocolate
September Box of the Month,"From £24.50
",/products/box-of-the-month-subscription
Speculoos Spiced Malt Balls,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£5.00",/products/speculoos-spiced-malt-balls
Tea & Biscuit Blonde Chocolate Easter Egg,£29.95,/products/pre-order-tea-biscuit-easter-egg
Valrhona Araguani - 72%,£77.50,/products/valrhona-araguani-72
Valrhona Bahibe 46%,£75.00,/products/valrhona-bahibe
Valrhona Biskelia 34%,£75.00,/products/valrhona-biskelia-34
Valrhona Caraibe 66%,"From £27.50
",/products/valrhona-caraibe-66
Valrhona Caramelia 36%,£75.00,/products/valrhona-caramelia-36
Valrhona Dulcey 32%,"From £29.50
",/products/valrhona-dulcey-32
Valrhona Guanaja 70%,"From £29.50
",/products/valrhona-guanaja-70
Valrhona Jivara 40%,"From £29.50
",/products/valrhona-jivara-40
Valrhona Manjari 64%,£75.00,/products/valrhona-manjari-64
Valrhona Opalys 33%,£75.00,/products/valrhona-opalys-33
Velvet White,£4.95,/products/velvet-white-chocolate-bar
